,value,percentage,datetime,tipo_energia,comunidad,id_comunidad
171,618.927,1.0,2011-06-21T00:00:00.000+02:00,No renovable,Ceuta,8744
172,624.509,1.0,2011-06-22T00:00:00.000+02:00,No renovable,Ceuta,8744
173,641.264,1.0,2011-06-23T00:00:00.000+02:00,No renovable,Ceuta,8744
174,630.339,1.0,2011-06-24T00:00:00.000+02:00,No renovable,Ceuta,8744
175,562.554,1.0,2011-06-25T00:00:00.000+02:00,No renovable,Ceuta,8744
176,511.145,1.0,2011-06-26T00:00:00.000+02:00,No renovable,Ceuta,8744
177,624.931,1.0,2011-06-27T00:00:00.000+02:00,No renovable,Ceuta,8744
178,627.903,1.0,2011-06-28T00:00:00.000+02:00,No renovable,Ceuta,8744
179,639.089,1.0,2011-06-29T00:00:00.000+02:00,No renovable,Ceuta,8744
180,648.096,1.0,2011-06-30T00:00:00.000+02:00,No renovable,Ceuta,8744
181,632.356,1.0,2011-07-01T00:00:00.000+02:00,No renovable,Ceuta,8744
182,561.229,1.0,2011-07-02T00:00:00.000+02:00,No renovable,Ceuta,8744
183,495.822,1.0,2011-07-03T00:00:00.000+02:00,No renovable,Ceuta,8744
184,591.484,1.0,2011-07-04T00:00:00.000+02:00,No renovable,Ceuta,8744
185,620.617,1.0,2011-07-05T00:00:00.000+02:00,No renovable,Ceuta,8744
186,635.84,1.0,2011-07-06T00:00:00.000+02:00,No renovable,Ceuta,8744
187,636.364,1.0,2011-07-07T00:00:00.000+02:00,No renovable,Ceuta,8744
188,616.661,1.0,2011-07-08T00:00:00.000+02:00,No renovable,Ceuta,8744
189,572.552,1.0,2011-07-09T00:00:00.000+02:00,No renovable,Ceuta,8744
190,533.1,1.0,2011-07-10T00:00:00.000+02:00,No renovable,Ceuta,8744
191,632.851,1.0,2011-07-11T00:00:00.000+02:00,No renovable,Ceuta,8744
192,646.69,1.0,2011-07-12T00:00:00.000+02:00,No renovable,Ceuta,8744
193,632.694,1.0,2011-07-13T00:00:00.000+02:00,No renovable,Ceuta,8744
194,609.529,1.0,2011-07-14T00:00:00.000+02:00,No renovable,Ceuta,8744
195,631.74,1.0,2011-07-15T00:00:00.000+02:00,No renovable,Ceuta,8744
196,577.929,1.0,2011-07-16T00:00:00.000+02:00,No renovable,Ceuta,8744
197,525.263,1.0,2011-07-17T00:00:00.000+02:00,No renovable,Ceuta,8744
198,593.856,1.0,2011-07-18T00:00:00.000+02:00,No renovable,Ceuta,8744
199,614.125,1.0,2011-07-19T00:00:00.000+02:00,No renovable,Ceuta,8744
200,619.013,1.0,2011-07-20T00:00:00.000+02:00,No renovable,Ceuta,8744
201,633.407,1.0,2011-07-21T00:00:00.000+02:00,No renovable,Ceuta,8744
202,628.07,1.0,2011-07-22T00:00:00.000+02:00,No renovable,Ceuta,8744
203,562.125,1.0,2011-07-23T00:00:00.000+02:00,No renovable,Ceuta,8744
204,515.079,1.0,2011-07-24T00:00:00.000+02:00,No renovable,Ceuta,8744
205,626.781,1.0,2011-07-25T00:00:00.000+02:00,No renovable,Ceuta,8744
206,636.08,1.0,2011-07-26T00:00:00.000+02:00,No renovable,Ceuta,8744
207,647.75,1.0,2011-07-27T00:00:00.000+02:00,No renovable,Ceuta,8744
208,656.436,1.0,2011-07-28T00:00:00.000+02:00,No renovable,Ceuta,8744
209,640.954,1.0,2011-07-29T00:00:00.000+02:00,No renovable,Ceuta,8744
210,580.204,1.0,2011-07-30T00:00:00.000+02:00,No renovable,Ceuta,8744
211,540.136,1.0,2011-07-31T00:00:00.000+02:00,No renovable,Ceuta,8744
212,643.616,1.0,2011-08-01T00:00:00.000+02:00,No renovable,Ceuta,8744
213,628.051,1.0,2011-08-02T00:00:00.000+02:00,No renovable,Ceuta,8744
214,634.419,1.0,2011-08-03T00:00:00.000+02:00,No renovable,Ceuta,8744
215,630.048,1.0,2011-08-04T00:00:00.000+02:00,No renovable,Ceuta,8744
216,566.498,1.0,2011-08-05T00:00:00.000+02:00,No renovable,Ceuta,8744
